date,open,high,low,close,volume
2018-06-27 20:40:00,7.65,7.6501,7.63632688,7.63873314,4688.55704017
2018-06-27 20:39:00,7.6599,7.665,7.65,7.65,2674.07249232
2018-06-27 20:38:00,7.6451,7.6657,7.6451,7.6607,3637.76021882
2018-06-27 20:37:00,7.6298,7.6445,7.6298,7.6445,2221.4262822
2018-06-27 20:36:00,7.6253,7.6298,7.6253,7.6298,232.0634481
2018-06-27 20:35:00,7.6245,7.6245,7.6245,7.6245,323.44193293
2018-06-27 20:34:00,7.6,7.6239,7.6,7.619,4073.803
2018-06-27 20:33:00,7.5991,7.6089,7.5991,7.6,3260.41037544
2018-06-27 20:32:00,7.5991,7.5991,7.599,7.5991,288.85604917
2018-06-27 20:31:00,7.6089,7.6089,7.5971,7.6,3633.41830014
2018-06-27 20:30:00,7.5831,7.6089,7.5743,7.6087,11876.89427833
2018-06-27 20:29:00,7.5831,7.5831,7.5831,7.5831,186.4990796
2018-06-27 20:28:00,7.573,7.5795,7.573,7.5757,1118.6264
2018-06-27 20:27:00,7.5744,7.5744,7.5667,7.573,2470.91494463
2018-06-27 20:26:00,7.5737,7.5738,7.5737,7.5738,189.57149
2018-06-27 20:25:00,7.542,7.5874,7.542,7.5724,7502.63208
2018-06-27 20:24:00,7.544,7.5553,7.5379,7.5379,24166.07026099
2018-06-27 20:23:00,7.5705,7.5764,7.5454,7.5513,10080.5900375
2018-06-27 20:22:00,7.5687,7.5726,7.5684,7.5726,570.0
2018-06-27 20:21:00,7.5719,7.5719,7.5696,7.5696,880.57412029
2018-06-27 05:23:00,7.7158,7.7158,7.7145,7.7145,10.2130943
2018-06-27 05:22:00,7.723,7.723,7.7169,7.7174,16.00043362
2018-06-27 05:21:00,7.723,7.7231,7.7228,7.7231,246.934
2018-06-27 05:20:00,7.728,7.7299,7.726,7.726,520.97916064
2018-06-27 05:19:00,7.717,7.722,7.717,7.7219,1494.0
2018-06-27 05:18:00,7.72,7.72,7.716,7.716,402.5
2018-06-27 05:17:00,7.71,7.721,7.71,7.721,227.01468684
2018-06-27 05:16:00,7.7144,7.7144,7.7144,7.7144,2.0
2018-06-27 05:15:00,7.7299,7.7299,7.7299,7.7299,12.65972276
2018-06-27 05:14:00,7.73,7.73,7.73,7.73,202.67893528
2018-06-27 05:13:00,7.7218,7.7237,7.713,7.721,1103.60184891
2018-06-27 05:12:00,7.7107,7.7218,7.703,7.7218,1469.07534152
2018-06-27 05:11:00,7.703,7.7173,7.703,7.7173,1034.79450419
2018-06-27 05:10:00,7.7101,7.7139,7.7099,7.7099,1081.0583779
2018-06-27 05:09:00,7.7146,7.7151,7.712,7.712,1838.52320279
2018-06-27 05:08:00,7.7129,7.7172,7.7129,7.7151,135.0
2018-06-27 05:07:00,7.702,7.7131,7.702,7.7131,507.75283832
2018-06-27 05:06:00,7.7026,7.7026,7.7015,7.7015,166.28061239
2018-06-27 05:05:00,7.7236,7.7236,7.709,7.709,5193.36906016
2018-06-27 05:04:00,7.729,7.729,7.729,7.729,4.0
2018-06-27 05:03:00,7.736,7.736,7.734,7.734,126.97766413
2018-06-27 05:02:00,7.7237,7.7377,7.7232,7.7377,329.97153107
2018-06-27 05:01:00,7.7199,7.7263,7.7199,7.7263,312.64607027
2018-06-27 05:00:00,7.707,7.7199,7.7025,7.7199,621.67837231
2018-06-27 04:59:00,7.7194,7.7194,7.708,7.708,442.0
2018-06-27 04:58:00,7.721,7.721,7.7194,7.7194,549.1019779
2018-06-27 04:57:00,7.7174,7.7253,7.7174,7.7209,1013.39433989
2018-06-27 04:56:00,7.7223,7.7263,7.7174,7.7175,2011.45682214
2018-06-27 04:55:00,7.7277,7.7288,7.7218,7.7221,1536.81480631
2018-06-27 04:54:00,7.7282,7.7291,7.7273,7.7279,479.18380669
2018-06-27 04:53:00,7.729,7.74,7.729,7.729,1577.48818304
2018-06-27 04:52:00,7.7333,7.7377,7.729,7.729,6464.69488046
2018-06-27 04:51:00,7.7316,7.7355,7.7271,7.7271,768.12864368
2018-06-27 04:50:00,7.7199,7.7298,7.717,7.7288,2039.52200297
2018-06-27 04:49:00,7.7199,7.721,7.712,7.7199,818.00996214
2018-06-27 04:48:00,7.7154,7.7207,7.7145,7.7199,1022.88024418
2018-06-27 04:47:00,7.7147,7.721,7.7147,7.721,314.41128634
2018-06-27 04:46:00,7.7151,7.7163,7.714,7.7159,191.42605023
2018-06-27 04:45:00,7.7187,7.7187,7.708,7.7082,569.59896295
2018-06-27 04:44:00,7.7201,7.7201,7.7022,7.7143,2271.67464038
2018-06-27 04:43:00,7.7331,7.7332,7.733,7.7332,125.71903288
2018-06-27 04:42:00,7.7267,7.7282,7.7251,7.7251,37.705554
2018-06-27 04:41:00,7.729,7.7343,7.7224,7.7224,1327.70566178
